10 Operationen notwendig. Dazu hinter folgenden Indizes wenden:
14, 8, 16, 5, 11, 2, 11, 4, 5, 9

Index |  p
14    |  9   14  1   17  7   15  2   5   16  10  4   3   12  6   19  8   11  18  13  
8     |  6   12  3   4   10  16  5   2   15  7   17  1   14  9   8   11  18  13  
16    |  2   5   16  10  4   3   12  6   7   17  1   14  9   8   11  18  13  
5     |  18  11  8   9   14  1   17  7   6   12  3   4   10  16  5   2   
11    |  14  9   8   11  18  17  7   6   12  3   4   10  16  5   2   
2     |  4   3   12  6   7   17  18  11  8   9   14  16  5   2   
11    |  3   4   6   7   17  18  11  8   9   14  16  5   2   
4     |  16  14  9   8   11  18  17  7   6   4   3   2   
5     |  8   9   14  16  18  17  7   6   4   3   2   
9     |  18  16  14  9   8   7   6   4   3   2   
      |  3   4   6   7   8   9   14  16  18  
